Slug,Title,Location,Valid,Main Image,Staged Count,Issues
bsccop1-big-sur-california-cliff-ocean-print-1,"Big Sur California Cliff Ocean Print 1","Big Sur, California",Yes,main.jpg,4,""
bsccop2-big-sur-california-cliff-ocean-print-2,"Big Sur California Cliff Ocean Print 2","Big Sur, California",Yes,main.jpg,4,""
bsocfa1-big-sur-ocean-cliff-from-above-1,"Big Sur Ocean Cliff From Above 1","Big Sur, California",Yes,main.jpg,5,""
hmb2bc1-hawaii-maui-black-sand-beach-cave-1,"Hmb2bc1 Hawaii Maui Black Sand Beach Cave 1","Hawaii, Maui",Yes,main.jpg,10,""
hmbsbr1-hawaii-maui-black-sand-beach-rock-1,"Hawaii Maui Black Sand Beach Rock 1","Hawaii, Maui",Yes,main.jpg,7,""
hmiv1-hawaii-maui-iao-valley-1,"Hawaii Maui Iao Valley 1","Hawaii, Maui",Yes,main.jpg,9,""
hmiv2-hawaii-maui-iao-valley-2,"Hawaii Maui Iao Valley 2","Hawaii, Maui",Yes,main.jpg,9,""
hmmhbw1-hawaii-maui-mount-haleakala-black-white-1,"Hawaii Maui Mount Haleakala Black White 1","Hawaii, Maui",Yes,main.jpg,6,""
hmmhs1-hawaii-maui-mount-haleakala-sunset-1,"Hawaii Maui Mount Haleakala Sunset 1","Hawaii, Maui",Yes,main.jpg,10,""
hmmhsst1-hawaii-maui-mount-haleakala-sliding-sands-trail-1,"Hawaii Maui Mount Haleakala Sliding Sands Trail 1","Hawaii, Maui",Yes,main.jpg,10,""
hmmhsst2-hawaii-maui-mount-haleakala-sliding-sands-trail-2,"Hawaii Maui Mount Haleakala Sliding Sands Trail 2","Hawaii, Maui",Yes,main.jpg,10,""
hmoth1-hawaii-maui-ohai-trail-hike-1,"Hawaii Maui Ohai Trail Hike 1","Hawaii, Maui",Yes,main.jpg,10,""
hmrthov1-hawaii-maui-road-to-hana-ocean-view-1,"Hawaii Maui Road To Hana Ocean View 1","Hawaii, Maui",Yes,main.jpg,7,""
hmrthov2-hawaii-maui-road-to-hana-ocean-view-2,"Hawaii Maui Road To Hana Ocean View 2","Hawaii, Maui",Yes,main.jpg,12,""
hmrthph1-hawaii-maui-road-to-hana-plantation-house-1,"Hawaii Maui Road To Hana Plantation House 1","Hawaii, Maui",Yes,main.jpg,8,""
hodr1-hawaii-oahu-diamondhead-rainbow-1,"Hawaii Oahu Diamondhead Rainbow 1","Hawaii, Oahu",Yes,main.jpg,10,""
labmwpt1-los-angeles-bates-motel-white-palm-trees-1,"Los Angeles Bates Motel White Palm Trees 1","Los Angeles, California",Yes,main.jpg,8,""
labmwpt2-los-angeles-bates-motel-white-palm-trees-2,"Los Angeles Bates Motel White Palm Trees 2","Los Angeles, California",Yes,main.jpg,10,""
mapgy1-airplane-grayard-1,"Airplane Grayard 1","",Yes,main.jpg,8,""
